domain,port,metadata_comment,ip
iscandium-ca.direct.quickconnect.to,8966,Possible GLKVM Domain (Unverified),75.157.217.203
ishotwith.com,14438,Possible PiKVM Domain (Unverified),70.131.165.225
itboriki.ru,41594,Possible NanoKVM Domain (Unverified),178.234.13.137
jackson.hjpos.us,8000,Possible NanoKVM Domain (Unverified),199.247.7.53
jammbo.net,443,Possible GLKVM Domain (Unverified),73.124.31.3
jcw81.direct.quickconnect.to,10088,Possible NanoKVM Domain (Unverified),128.106.40.182
jcw81.direct.quickconnect.to,10089,Possible NanoKVM Domain (Unverified),128.106.40.182
jellyfin.cabin.williamweilep.com,5020,Possible NanoKVM Domain (Unverified),209.23.71.120
jellyfin.gh4l.org,2096,Possible PiKVM Domain (Unverified),24.101.18.231
jellyfin.tuna.yakovlev-nl-01.abrdns.com,18086,Possible NanoKVM Domain (Unverified),185.239.51.213
jinaohome.top,78,Possible PiKVM Domain (Unverified),121.15.191.101
jvc4396.kvm.netscan.systems,8443,Possible GLKVM Domain (Unverified),162.247.152.117
karimov1981.crazedns.ru,443,Possible NanoKVM Domain (Unverified),151.252.81.52
karlsonserver.direct.quickconnect.to,3815,Possible GLKVM Domain (Unverified),100.1.116.161
kassafinal.direct.quickconnect.to,53310,Possible NanoKVM Domain (Unverified),106.72.8.128
kclauts873.myqnapcloud.com,62443,Possible PiKVM Domain (Unverified),124.244.236.243
kcs2092.duckdns.org,40022,Possible NanoKVM Domain (Unverified),123.213.37.9
keenanweb.com,31415,Possible NanoKVM Domain (Unverified),73.33.203.123
keenetic-alexey.keenetic.link,33333,Possible NanoKVM Domain (Unverified),78.107.238.174
kellashee.fun,10445,Possible NanoKVM Domain (Unverified),99.152.36.137
keyd.s4t.ai,65443,Possible GLKVM Domain (Unverified),99.47.64.107
kissbye123.direct.quickconnect.to,5480,Possible PiKVM Domain (Unverified),59.120.35.106
klinker-cabin.computer,8085,Possible PiKVM Domain (Unverified),38.75.214.203
kneusel1.hopto.org,9737,Possible GLKVM Domain (Unverified),47.197.129.55
knzw.org,8866,Possible GLKVM Domain (Unverified),104.56.117.144
kresy.fotopolska.eu,6913,Possible NanoKVM Domain (Unverified),79.110.203.11
krot34464.keenetic.link,56734,Possible NanoKVM Domain (Unverified),83.174.213.36
kvm.asi.nyc,443,Possible GLKVM Domain (Unverified),198.199.69.31
kvm.durbatul.uk,443,Possible GLKVM Domain (Unverified),143.47.179.249
kvm.torrestorrestech.com.br,8443,Possible GLKVM Domain (Unverified),187.10.236.6
kvm.wujiang.icu,8082,Possible PiKVM Domain (Unverified),47.92.32.235
kwbjr.synology.me,10142,Possible GLKVM Domain (Unverified),68.186.201.237
kwbjr.synology.me,10163,Possible GLKVM Domain (Unverified),68.186.201.237
kwloo.synology.me,65500,Possible TinyPilot KVM Domain (Unverified),116.89.89.12
kxadmin.tachnet.info,45698,Possible PiKVM Domain (Unverified),68.149.172.168
levashoff.com,3972,Possible PiKVM Domain (Unverified),69.251.58.121
license.aflwp.com,62443,Possible PiKVM Domain (Unverified),213.194.132.128
linjiang-nas.direct.quickconnect.to,18888,Possible PiKVM Domain (Unverified),220.132.99.215
linjintao.i234.me,4433,Possible PiKVM Domain (Unverified),120.33.47.198
lists.freelancejournalism.com,80,Possible GLKVM Domain (Unverified),80.87.128.130
localracc.argyll.live,443,Possible GLKVM Domain (Unverified),77.103.109.134
localracc.argyll.live,80,Possible GLKVM Domain (Unverified),77.103.109.134
lor3m.site,46329,Possible PiKVM Domain (Unverified),191.97.29.58
ltbot.317188.xyz,49286,Possible NanoKVM Domain (Unverified),8.218.17.111
mac-nthrthkqzhc.dynamic-m.com,62214,Possible GLKVM Domain (Unverified),106.72.35.161
mail-archive.kolorama.net,5051,Possible NanoKVM Domain (Unverified),77.45.103.59
mail.directlandhomes.com,7443,Possible GLKVM Domain (Unverified),81.17.96.138
mail.kromskii.ru,800,Possible NanoKVM Domain (Unverified),5.128.67.170
mail03-vps.hlpnet.dk,443,Possible GLKVM Domain (Unverified),172.233.41.176
mantapcuykita.synology.me,12001,Possible PiKVM Domain (Unverified),88.74.109.160
marhi.direct.quickconnect.to,4443,Possible GLKVM Domain (Unverified),89.142.196.93
mariner.dscloud.me,1849,Possible NanoKVM Domain (Unverified),178.172.225.159
mariner.dscloud.me,3823,Possible NanoKVM Domain (Unverified),178.172.225.159
martin.argerami.ca,2249,Possible TinyPilot KVM Domain (Unverified),142.3.219.94
matrix.barab.uk,12345,Possible NanoKVM Domain (Unverified),90.188.237.178
matrix.lesviallon.fr,9443,Possible PiKVM Domain (Unverified),89.95.58.186
mckanses.cloud,8888,Possible NanoKVM Domain (Unverified),84.113.106.124
mcp.lab-ia.app.schmidt,8443,Possible PiKVM Domain (Unverified),141.255.151.114
mcrena-lgk.netcraze.pro,8081,Possible NanoKVM Domain (Unverified),195.128.97.113
memo.raphaelguetta.fr,11443,Possible PiKVM Domain (Unverified),82.64.166.200
menusout.com,80,Possible TinyPilot KVM Domain (Unverified),209.182.192.122
messenger.agata.rip,7755,Possible NanoKVM Domain (Unverified),5.20.29.106
micro-dev.aibotify.ca,2222,Possible PiKVM Domain (Unverified),81.150.87.148
mikrot.dyndns.org,10180,Possible NanoKVM Domain (Unverified),212.220.203.67
milash.yandex5.ru,9090,Possible PiKVM Domain (Unverified),95.31.172.177
mir.signum.video,8088,Possible NanoKVM Domain (Unverified),92.62.151.223
mixma-computer.duckdns.org,444,Possible NanoKVM Domain (Unverified),93.28.120.5
moskovskiy.netcraze.pro,4433,Possible NanoKVM Domain (Unverified),93.100.233.164
mqtt.luki.zip,443,Possible NanoKVM Domain (Unverified),213.185.130.154
ms.077210321.com.tw,21280,Possible NanoKVM Domain (Unverified),59.124.65.201
ms.ywmeis.com,8443,Possible PiKVM Domain (Unverified),122.226.124.94
mydownloads.direct.quickconnect.to,443,Possible GLKVM Domain (Unverified),67.208.54.121
mydsm.447244.xyz,9443,Possible NanoKVM Domain (Unverified),94.29.35.187
mygigabiga.keenetic.link,443,Possible GLKVM Domain (Unverified),178.64.253.172
mypictures.chauvet.pro,555,Possible NanoKVM Domain (Unverified),90.78.238.21
n.wallmark.no,5236,Possible PiKVM Domain (Unverified),83.108.224.235
n8n.homeofangel.duckdns.org,7443,Possible NanoKVM Domain (Unverified),58.124.115.239
n8n.koterpillar.com,5199,Possible NanoKVM Domain (Unverified),103.252.195.101
nas-iwg.direct.quickconnect.to,443,Possible GLKVM Domain (Unverified),79.57.210.123
nas-iwg.direct.quickconnect.to,80,Possible GLKVM Domain (Unverified),79.57.210.123
nas.noctavigat.ru,8443,Possible NanoKVM Domain (Unverified),94.19.127.137
nas2.leem.dk,63000,Possible PiKVM Domain (Unverified),91.226.144.173
naturalnrg.myqnapcloud.com,8888,Possible PiKVM Domain (Unverified),92.84.40.96
naya817.freeboxos.fr,443,Possible GLKVM Domain (Unverified),88.163.38.65
naya817.freeboxos.fr,80,Possible GLKVM Domain (Unverified),88.163.38.65
nc2.maxop.site,12443,Possible GLKVM Domain (Unverified),93.127.123.251
net1vano.duckdns.org,10443,Possible NanoKVM Domain (Unverified),195.209.48.27
net305.ru,7777,Possible NanoKVM Domain (Unverified),80.92.211.234
net305.ru,7778,Possible NanoKVM Domain (Unverified),80.92.211.234
netcrazelaine.netcraze.pro,8223,Possible GLKVM Domain (Unverified),94.19.185.32
neural.bezrabotnyi.com,21044,Possible NanoKVM Domain (Unverified),95.165.165.65
neural.bezrabotnyi.com,21088,Possible NanoKVM Domain (Unverified),95.165.165.65
newfreelarunda.duckdns.org,9091,Possible PiKVM Domain (Unverified),46.6.4.6
nginx.tartarus6.com,12345,Possible NanoKVM Domain (Unverified),96.234.148.166
nicksnasqc.direct.quickconnect.to,51337,Possible NanoKVM Domain (Unverified),125.238.204.185
njnvqg18z57wowut.myfritz.net,9443,Possible GLKVM Domain (Unverified),77.21.111.55
noctavigathome.netcraze.pro,9443,Possible NanoKVM Domain (Unverified),94.19.127.137
noctavigathome.netcraze.pro,9443,Possible PiKVM Domain (Unverified),94.19.127.137
nohany.duckdns.org,42443,Possible PiKVM Domain (Unverified),174.113.199.220
nuko-server.com,57777,Possible NanoKVM Domain (Unverified),125.228.24.154
numerosiren.com,62347,Possible NanoKVM Domain (Unverified),82.65.98.164
oferta-ventana.ini40.es,5443,Possible PiKVM Domain (Unverified),90.164.254.165
office.iron-rock.synology.me,44021,Possible GLKVM Domain (Unverified),107.221.55.208
oifdgok.crazedns.ru,443,Possible NanoKVM Domain (Unverified),185.160.137.198
oifdgok.crazedns.ru,80,Possible NanoKVM Domain (Unverified),185.160.137.198
ollama.38c.it,18443,Possible PiKVM Domain (Unverified),79.1.99.147
ombi.plx-service.de,6245,Possible PiKVM Domain (Unverified),91.66.30.244
omvoid.direct.quickconnect.to,53467,Possible GLKVM Domain (Unverified),95.31.158.66
