domain,port,metadata_comment,ip
apm.vpce.gdw55e.doc.df.iniprotection.business,9000,Possible DevilGinx Domain (Unverified),185.212.129.31
apm.vpce.gdw55e.doc.df.iniprotection.business,9000,Possible Evilginx/EvilGoPhish Domain (Unverified),185.212.129.31
app-mailgun.top,56002,Possible PureRAT Domain (Unverified),217.60.195.197
app.collab.tr4t.io,80,Possible BurpSuite Collaborator Domain (Unverified),54.245.113.160
app.giaoluupickleball.com,8443,Possible PentAGI Domain (Unverified),146.190.108.112
appv2.meudorama.int.eu.org,8443,Possible PentAGI Domain (Unverified),157.173.113.230
apt.cab,8443,Possible PentAGI Domain (Unverified),208.87.243.221
apt.cab,8446,Possible PentAGI Domain (Unverified),208.87.243.221
arthurjung.nirokhub.fr,8443,Possible PentAGI Domain (Unverified),77.93.141.10
as-2026-719-ac-2.autonode.net,65000,Possible Mythic Domain (Unverified),167.99.174.8
att.com.im,80,Possible BurpSuite Collaborator Domain (Unverified),73.43.78.58
audit2.hisolutions.com,443,Possible BurpSuite Collaborator Domain (Unverified),89.247.178.35
audit2.hisolutions.com,80,Possible BurpSuite Collaborator Domain (Unverified),89.247.178.35
auth.193-114-148-238.nip.io,17800,Possible PentAGI Domain (Unverified),193.114.148.238
autoconfig.pvepro.ru,8000,Possible Cairn Domain (Unverified),185.139.214.215
autodiscover.galixity.org,7443,Possible Mythic Domain (Unverified),173.249.56.221
awmdn.com,7443,Possible Mythic Domain (Unverified),172.174.234.34
axnv.in,443,Possible BurpSuite Collaborator Domain (Unverified),51.83.128.26
axnv.in,80,Possible BurpSuite Collaborator Domain (Unverified),51.83.128.26
azburp.in,443,Possible BurpSuite Collaborator Domain (Unverified),54.163.40.81
azburp.in,80,Possible BurpSuite Collaborator Domain (Unverified),54.163.40.81
azcollab.pr3v3nity.pl,443,Possible BurpSuite Collaborator Domain (Unverified),134.112.16.24
azcollab.pr3v3nity.pl,80,Possible BurpSuite Collaborator Domain (Unverified),134.112.16.24
azeleainfomail.online,443,Possible PureRAT Domain (Unverified),45.139.104.204
b.0wn.at,443,Possible BurpSuite Collaborator Domain (Unverified),185.238.32.140
b.0wn.at,80,Possible BurpSuite Collaborator Domain (Unverified),185.238.32.140
b.0x27.top,443,Possible BurpSuite Collaborator Domain (Unverified),49.235.104.231
b.0x27.top,80,Possible BurpSuite Collaborator Domain (Unverified),49.235.104.231
b.almd.fr,443,Possible BurpSuite Collaborator Domain (Unverified),185.11.188.99
b.almd.fr,80,Possible BurpSuite Collaborator Domain (Unverified),185.11.188.99
b.cynlab.uk,443,Possible BurpSuite Collaborator Domain (Unverified),18.169.79.77
b.cynlab.uk,80,Possible BurpSuite Collaborator Domain (Unverified),18.169.79.77
b.dxcsecops.com,443,Possible BurpSuite Collaborator Domain (Unverified),3.65.29.96
b.dxcsecops.com,80,Possible BurpSuite Collaborator Domain (Unverified),3.65.29.96
b.h4.rs,80,Possible BurpSuite Collaborator Domain (Unverified),142.93.47.161
b.horadrim.xyz,443,Possible BurpSuite Collaborator Domain (Unverified),18.189.228.148
b.horadrim.xyz,80,Possible BurpSuite Collaborator Domain (Unverified),18.189.228.148
b.inty.io,443,Possible BurpSuite Collaborator Domain (Unverified),84.22.115.173
b.inty.io,80,Possible BurpSuite Collaborator Domain (Unverified),84.22.115.173
b.k0.lc,80,Possible BurpSuite Collaborator Domain (Unverified),45.147.97.226
b.nf,443,Possible BurpSuite Collaborator Domain (Unverified),44.210.45.110
b.nf,80,Possible BurpSuite Collaborator Domain (Unverified),44.210.45.110
b.nf,8080,Possible BurpSuite Collaborator Domain (Unverified),44.210.45.110
b.p7z.pw,443,Possible BurpSuite Collaborator Domain (Unverified),128.199.181.95
b.p7z.pw,80,Possible BurpSuite Collaborator Domain (Unverified),128.199.181.95
b.s2i.ninja,443,Possible BurpSuite Collaborator Domain (Unverified),3.121.184.60
b.s2i.ninja,80,Possible BurpSuite Collaborator Domain (Unverified),3.121.184.60
b.vapt.team,33443,Possible BurpSuite Collaborator Domain (Unverified),157.245.156.207
b.vapt.team,3380,Possible BurpSuite Collaborator Domain (Unverified),157.245.156.207
b.vapt.team,443,Possible BurpSuite Collaborator Domain (Unverified),157.245.156.207
b.vapt.team,80,Possible BurpSuite Collaborator Domain (Unverified),157.245.156.207
b2.tlab.dpdns.org,443,Possible BurpSuite Collaborator Domain (Unverified),23.95.8.245
b2.tlab.dpdns.org,80,Possible BurpSuite Collaborator Domain (Unverified),23.95.8.245
b32.h5-quanyi.ppword.top,8080,Possible CyberStrikeAI Domain (Unverified),154.222.19.45
babrmouz.us.kg,443,Possible DinDoor Domain (Unverified),195.66.213.23
bank-form.arthat.top,6618,Possible CyberStrikeAI Domain (Unverified),154.201.68.165
bankgz.top,8080,Possible CyberStrikeAI Domain (Unverified),45.145.228.25
bardatsky.top,9000,Possible DevilGinx Domain (Unverified),185.212.129.70
bardatsky.top,9000,Possible Evilginx/EvilGoPhish Domain (Unverified),185.212.129.70
bbhunting.com,1001,Possible BurpSuite Collaborator Domain (Unverified),64.23.147.211
bbhunting.com,442,Possible BurpSuite Collaborator Domain (Unverified),64.23.147.211
bc-hackner-security.com,443,Possible BurpSuite Collaborator Domain (Unverified),213.164.30.187
bc-hackner-security.com,80,Possible BurpSuite Collaborator Domain (Unverified),213.164.30.187
bc.6dgoffsec.co.uk,80,Possible BurpSuite Collaborator Domain (Unverified),35.176.205.155
bc.cybercloud.io,443,Possible BurpSuite Collaborator Domain (Unverified),167.71.68.76
bc.cybercloud.io,80,Possible BurpSuite Collaborator Domain (Unverified),167.71.68.76
bc.foofussec.net,443,Possible BurpSuite Collaborator Domain (Unverified),64.73.162.3
bc.foofussec.net,80,Possible BurpSuite Collaborator Domain (Unverified),64.73.162.3
bc.gdxd.de,80,Possible BurpSuite Collaborator Domain (Unverified),194.156.84.21
bc.kbry.net,80,Possible BurpSuite Collaborator Domain (Unverified),34.231.199.127
bc.nhbr.sh,443,Possible BurpSuite Collaborator Domain (Unverified),3.231.45.135
bc.nhbr.sh,80,Possible BurpSuite Collaborator Domain (Unverified),3.231.45.135
bc.oauth.us.to,443,Possible BurpSuite Collaborator Domain (Unverified),35.163.235.51
bc.oauth.us.to,80,Possible BurpSuite Collaborator Domain (Unverified),35.163.235.51
bc.ownsec.red,443,Possible BurpSuite Collaborator Domain (Unverified),151.80.216.232
bc.ownsec.red,80,Possible BurpSuite Collaborator Domain (Unverified),151.80.216.232
bc.pingback.zone,443,Possible BurpSuite Collaborator Domain (Unverified),138.68.114.237
bc.pingback.zone,80,Possible BurpSuite Collaborator Domain (Unverified),138.68.114.237
bc.prodsec-os.cloudera.com,443,Possible BurpSuite Collaborator Domain (Unverified),34.211.159.172
bc.prodsec-os.cloudera.com,80,Possible BurpSuite Collaborator Domain (Unverified),34.211.159.172
bc.secura-test.com,10080,Possible BurpSuite Collaborator Domain (Unverified),136.144.212.94
bc.secura-test.com,10443,Possible BurpSuite Collaborator Domain (Unverified),136.144.212.94
bc.secura-test.com,443,Possible BurpSuite Collaborator Domain (Unverified),136.144.212.94
bc.secura-test.com,80,Possible BurpSuite Collaborator Domain (Unverified),136.144.212.94
bc.tiefps.net,443,Possible BurpSuite Collaborator Domain (Unverified),54.162.172.92
bc.tiefps.net,80,Possible BurpSuite Collaborator Domain (Unverified),54.162.172.92
bc.ukpt.uk,33443,Possible BurpSuite Collaborator Domain (Unverified),81.145.232.113
bc.ukpt.uk,3380,Possible BurpSuite Collaborator Domain (Unverified),81.145.232.113
bc.wpcookie.net,443,Possible BurpSuite Collaborator Domain (Unverified),83.228.247.89
bc.wpcookie.net,80,Possible BurpSuite Collaborator Domain (Unverified),83.228.247.89
bcollaborator.binsec.cloud,80,Possible BurpSuite Collaborator Domain (Unverified),64.227.78.12
bcpoll.ukpt.uk,80,Possible BurpSuite Collaborator Domain (Unverified),81.145.232.113
bcsd.digitrace.de,443,Possible BurpSuite Collaborator Domain (Unverified),85.88.9.184
bcsd.digitrace.de,80,Possible BurpSuite Collaborator Domain (Unverified),85.88.9.184
bcserver.infoatrisk.com,443,Possible BurpSuite Collaborator Domain (Unverified),52.42.37.36
bcserver.infoatrisk.com,80,Possible BurpSuite Collaborator Domain (Unverified),52.42.37.36
beachshacksforrent.com,3232,Possible Reverse_SSH Domain (Unverified),45.140.14.74
beheer-adr.nl,443,Possible BurpSuite Collaborator Domain (Unverified),62.129.142.106
beheer-adr.nl,80,Possible BurpSuite Collaborator Domain (Unverified),62.129.142.106
beizhenkeji.com,8080,Possible CyberStrikeAI Domain (Unverified),177.211.86.205
betclic.com.yhies.work,443,Possible BurpSuite Collaborator Domain (Unverified),92.222.178.185
beyole.com,8000,Possible Cairn Domain (Unverified),107.172.32.149
beyole.com,8443,Possible PentAGI Domain (Unverified),107.172.32.149
bigice.serv00.net,55682,Possible wstunnel Domain (Unverified),128.204.223.111
bilibill.shop,8080,Possible CyberStrikeAI Domain (Unverified),154.8.155.23
bingrenshuyuan.com,8080,Possible CyberStrikeAI Domain (Unverified),101.201.108.71
biomediclife.com,443,Possible DinDoor Domain (Unverified),38.180.250.214
birdphotographers.com,9000,Possible Evilginx/EvilGoPhish Domain (Unverified),185.212.128.96
bitcart.capitalforgex.com,443,Possible RedAmon Domain (Unverified),23.111.14.152
bitfinex167.com,23957,Possible Supershell Domain (Unverified),172.81.98.56
bitfinex167.com,443,Possible Supershell Domain (Unverified),172.81.98.56
blanche.defaultcentralbank.com,8080,Possible CyberStrikeAI Domain (Unverified),194.62.251.34
blog.blue-hole.today,7443,Possible Mythic Domain (Unverified),113.31.118.180
blog.kinghtxg.com,8080,Possible CyberStrikeAI Domain (Unverified),43.136.54.147
bmoburpcollab.ca,443,Possible BurpSuite Collaborator Domain (Unverified),40.71.163.162
bmoburpcollab.ca,80,Possible BurpSuite Collaborator Domain (Unverified),40.71.163.162
bobicake.direct.quickconnect.to,55678,Possible wstunnel Domain (Unverified),85.194.243.117
bp.pen-testing.ru,443,Possible BurpSuite Collaborator Domain (Unverified),5.35.85.57
bpfw1.biz,6618,Possible CyberStrikeAI Domain (Unverified),103.233.254.60
br.ht,443,Possible BurpSuite Collaborator Domain (Unverified),70.34.195.164
br.ht,80,Possible BurpSuite Collaborator Domain (Unverified),70.34.195.164
brahmalihvc.online,55011,Possible PureRAT Domain (Unverified),45.139.104.26
brp.li,443,Possible BurpSuite Collaborator Domain (Unverified),185.203.114.122
brp.li,80,Possible BurpSuite Collaborator Domain (Unverified),185.203.114.122
brp.prd.rocks,8443,Possible BurpSuite Collaborator Domain (Unverified),104.248.231.250
bsc.pingme.global,80,Possible BurpSuite Collaborator Domain (Unverified),54.158.100.221
bstough.com,8080,Possible CyberStrikeAI Domain (Unverified),45.32.77.95
bt7274.top,60061,Possible CyberStrikeAI Domain (Unverified),101.34.244.173
bugbear.silentgrid.io,443,Possible BurpSuite Collaborator Domain (Unverified),3.105.253.220
bugbear.silentgrid.io,80,Possible BurpSuite Collaborator Domain (Unverified),3.105.253.220
bugshieldlabs.com,443,Possible BurpSuite Collaborator Domain (Unverified),159.89.40.57
bugshieldlabs.com,80,Possible BurpSuite Collaborator Domain (Unverified),159.89.40.57
burp-collaborator.egnyte-internal.com,80,Possible BurpSuite Collaborator Domain (Unverified),34.41.43.129
burp-collaborator.securitytest-service.com,443,Possible BurpSuite Collaborator Domain (Unverified),3.32.64.102
burp-collaborator.securitytest-service.com,80,Possible BurpSuite Collaborator Domain (Unverified),3.32.64.102
burp-ctr-01.schellman.info,443,Possible BurpSuite Collaborator Domain (Unverified),3.150.71.44
burp-ctr-01.schellman.info,80,Possible BurpSuite Collaborator Domain (Unverified),3.150.71.44
burp-ctr.schellman.info,443,Possible BurpSuite Collaborator Domain (Unverified),18.134.48.92
burp-ctr.schellman.info,80,Possible BurpSuite Collaborator Domain (Unverified),18.134.48.92
burp-eu-collaborator-01.key-systems.net,443,Possible BurpSuite Collaborator Domain (Unverified),109.234.106.133
burp-eu-collaborator-01.key-systems.net,80,Possible BurpSuite Collaborator Domain (Unverified),109.234.106.133
burp.1nteract.de,443,Possible BurpSuite Collaborator Domain (Unverified),18.184.86.194
burp.1nteract.de,80,Possible BurpSuite Collaborator Domain (Unverified),18.184.86.194
burp.a1digitalcollab.com,443,Possible BurpSuite Collaborator Domain (Unverified),138.124.209.110
burp.a1digitalcollab.com,80,Possible BurpSuite Collaborator Domain (Unverified),138.124.209.110
burp.attack.live,80,Possible BurpSuite Collaborator Domain (Unverified),136.115.216.28
burp.bsec.nz,443,Possible BurpSuite Collaborator Domain (Unverified),170.64.195.90
burp.burp-csiro.com,80,Possible BurpSuite Collaborator Domain (Unverified),54.66.204.20
burp.cai-offsec.com,443,Possible BurpSuite Collaborator Domain (Unverified),20.42.44.77
burp.cai-offsec.com,80,Possible BurpSuite Collaborator Domain (Unverified),20.42.44.77
burp.collaborateur.net,443,Possible BurpSuite Collaborator Domain (Unverified),52.25.65.218
burp.collaborateur.net,80,Possible BurpSuite Collaborator Domain (Unverified),52.25.65.218
burp.collaborator-ps.nl,443,Possible BurpSuite Collaborator Domain (Unverified),4.231.126.11
burp.collaborator-ps.nl,80,Possible BurpSuite Collaborator Domain (Unverified),4.231.126.11
burp.corpvus.com,443,Possible BurpSuite Collaborator Domain (Unverified),165.232.128.79
burp.corpvus.com,80,Possible BurpSuite Collaborator Domain (Unverified),165.232.128.79
burp.css-pen.de,443,Possible BurpSuite Collaborator Domain (Unverified),172.105.92.230
burp.css-pen.de,80,Possible BurpSuite Collaborator Domain (Unverified),172.105.92.230
burp.cxapt.net,80,Possible BurpSuite Collaborator Domain (Unverified),100.55.83.213
burp.cxapt.net,8080,Possible BurpSuite Collaborator Domain (Unverified),100.55.83.213
burp.cxapt.net,8081,Possible BurpSuite Collaborator Domain (Unverified),100.55.83.213
burp.cyberamt.de,443,Possible BurpSuite Collaborator Domain (Unverified),193.101.132.17
burp.cyberamt.de,80,Possible BurpSuite Collaborator Domain (Unverified),193.101.132.17
burp.ftpentest.com,443,Possible BurpSuite Collaborator Domain (Unverified),37.60.188.92
burp.ftpentest.com,80,Possible BurpSuite Collaborator Domain (Unverified),37.60.188.92
burp.hack.coach,443,Possible BurpSuite Collaborator Domain (Unverified),185.144.92.20
burp.juzi995.com,443,Possible BurpSuite Collaborator Domain (Unverified),117.72.73.84
burp.mbti.red,443,Possible BurpSuite Collaborator Domain (Unverified),162.55.60.182
burp.mbti.red,80,Possible BurpSuite Collaborator Domain (Unverified),162.55.60.182
burp.me.uk,443,Possible BurpSuite Collaborator Domain (Unverified),45.155.108.92
burp.me.uk,80,Possible BurpSuite Collaborator Domain (Unverified),45.155.108.92
