dest_ip,dest_port,metadata_comment
77.238.79.111,5678,socks4
185.215.53.201,3629,socks4
91.151.195.138,1080,socks5
177.106.200.19,8080,http
80.78.78.106,65530,socks4
174.138.161.190,55221,http
157.15.187.195,7777,http
45.74.31.22,16505,socks5
45.74.31.42,11239,socks5
174.138.165.211,36133,http
45.74.31.40,11889,socks5
5.75.133.113,10809,socks5
83.174.229.42,1080,socks5
68.225.17.237,4228,http
45.74.31.42,4837,socks5
45.74.31.23,12430,socks5
45.74.31.23,15795,socks5
220.196.222.235,9999,socks5
199.68.217.2,3128,http
45.74.31.42,30081,socks5
62.245.48.172,1080,socks5
2.27.14.177,8080,http
45.74.31.23,17422,socks5
45.74.31.42,5958,socks5
45.74.31.40,4955,socks5
45.74.31.42,4385,socks5
202.181.24.102,10813,socks5
45.74.31.42,28628,socks5
131.153.1.43,22915,http
131.153.163.84,30646,http
45.74.31.40,17155,socks5
122.246.4.30,17981,http
45.74.31.22,5279,socks5
45.74.31.40,10712,socks5
45.74.31.23,12185,socks5
45.74.31.23,6924,socks5
45.74.31.42,30810,socks5
45.74.31.42,8844,socks5
153.80.242.105,8080,socks5
174.138.165.211,34053,http
45.74.31.22,15541,socks5
45.74.31.23,4171,socks5
45.74.31.23,12361,socks5
45.74.31.23,5532,socks5
174.138.161.189,36172,http
131.153.163.86,27371,http
89.43.133.102,8080,http
157.20.35.39,9090,http
103.162.54.157,8080,http
103.188.173.84,7777,http
45.74.31.42,16074,socks5
72.255.38.180,1080,socks5
174.138.162.38,50080,socks5
45.74.31.42,4712,socks5
103.172.172.243,8080,http
196.75.203.89,1088,http
174.138.165.211,34600,http
157.10.97.43,8080,http
203.205.49.2,10234,http
45.74.31.23,8000,socks5
45.74.31.42,29713,socks5
45.74.31.23,12195,socks5
45.74.31.22,11684,socks5
45.74.31.23,4084,socks5
45.74.31.40,9980,socks5
157.20.253.20,3125,http
45.74.31.40,11726,socks5
102.208.228.90,8080,http
187.72.72.209,5151,http
103.156.75.36,8181,http
45.74.31.40,13752,socks5
92.255.190.64,4153,socks4
45.74.31.42,9268,socks5
193.227.129.196,8001,http
193.227.129.196,36181,http
131.153.163.84,8142,http
45.74.31.23,7195,socks5
98.154.21.253,4228,http
66.23.231.213,3128,http
93.187.26.134,58080,http
45.74.31.23,10374,socks5
101.32.60.93,1080,socks5
45.74.31.23,12826,socks5
103.156.248.100,3128,http
45.74.31.23,9618,socks5
45.74.31.23,16646,socks5
45.74.31.22,10918,socks5
179.255.188.140,1080,socks5
45.74.31.22,10175,socks5
14.225.2.98,808,http
49.147.46.158,8082,http
75.109.189.86,8080,http
45.74.31.23,9090,socks5
45.74.31.23,6294,socks5
202.59.75.6,8080,http
145.220.227.2,1081,http
145.220.227.5,1080,http
43.251.225.254,8080,http
45.74.31.42,10361,socks5
103.124.136.219,8080,http
45.74.31.42,6708,socks5
45.189.252.50,999,http
45.74.31.42,4426,socks5
45.74.31.42,17044,socks5
91.210.151.184,1080,socks4
103.229.83.57,8082,http
45.74.31.23,17385,socks5
45.74.31.23,7215,socks5
45.74.31.40,9133,socks5
95.182.78.7,5678,socks4
45.74.31.42,22562,socks5
145.220.227.1,3128,http
45.74.31.23,7445,socks5
82.41.42.243,8080,http
128.69.178.28,1080,socks5
179.255.188.139,1080,socks5
45.74.31.22,5904,socks5
36.88.247.75,8081,http
45.74.31.40,14422,socks5
174.138.165.211,34917,http
85.207.11.133,3128,http
87.228.228.101,4145,socks4
45.74.31.22,17018,socks5
86.127.209.234,1080,socks4
202.59.75.5,8080,http
82.196.69.34,1080,socks5
185.167.120.183,8080,http
103.110.110.20,3128,http
45.74.31.23,11625,socks5
45.74.31.23,5821,socks5
37.193.125.68,1090,socks4
155.212.223.36,3128,http
160.191.173.52,8080,http
103.174.122.83,3128,http
109.111.79.212,2080,socks5
186.121.244.178,8080,http
131.153.163.86,23620,http
109.202.0.25,1080,socks5
45.74.31.40,16483,socks5
45.74.31.42,28991,socks5
131.153.163.86,8001,http
45.74.31.40,10065,socks5
43.251.225.254,1080,socks5
103.66.46.54,69,socks5
193.227.129.195,34343,http
45.74.31.22,12488,socks5
212.175.50.78,8085,http
45.74.31.42,15599,socks5
45.74.31.22,36576,socks5
49.146.50.98,8082,http
131.153.163.84,26600,http
49.48.92.49,8080,http
45.74.31.23,5469,socks5
45.74.31.42,4631,socks5
45.74.31.40,5161,socks5
45.74.31.22,17461,socks5
45.74.31.42,8968,socks5
131.153.163.86,20798,http
45.74.31.23,17413,socks5
196.75.134.79,1088,http
174.138.165.211,30144,http
182.52.149.68,80,http
45.229.33.246,999,http
45.74.31.42,9009,socks5
45.74.31.42,11055,socks5
89.135.59.77,8090,http
223.204.177.216,3128,http
125.163.149.160,8080,http
104.251.93.55,16062,http
187.150.177.46,999,http
103.238.233.10,8080,http
202.59.75.7,8080,http
45.74.31.42,12662,socks5
184.82.165.104,8080,http
82.209.219.244,8080,http
103.165.232.82,8080,http
45.74.31.22,8215,socks5
45.74.31.23,5327,socks5
103.147.247.203,8080,http
74.62.23.242,39593,socks4
45.74.31.42,7766,socks5
45.74.31.40,40528,socks5
45.74.31.42,4351,socks5
131.153.163.84,36640,socks5
45.74.31.42,8806,socks5
49.147.125.164,5050,http
131.153.163.84,22494,http
177.136.124.45,56113,socks4
45.74.31.22,10481,socks5
174.138.161.190,38105,http
45.74.31.23,5237,socks5
45.74.31.23,10378,socks5
45.74.31.23,12827,socks5
45.74.31.23,6876,socks5
45.74.31.42,13542,socks5
103.146.38.53,1080,http
45.74.31.22,16252,socks5
131.153.163.86,8760,http
45.74.31.23,4701,socks5
128.14.229.215,1080,socks5
49.149.223.6,8082,http
45.74.31.42,6757,socks5
